Review_ID,App_Name,User_Age,Review_Date,Rating,Review_Text,Likes,Device_Type,Version_Used,Country,Purchase_Amount,Category
1,Candy Crush Saga,21,2023-01-16,4,"Great game, but too many in-game purchases.",70,iPhone 12,3.231.19,Australia,0.0,Games
2,Spotify,57,2024-02-01,1,"Good, but has connection issues sometimes.",49,iPhone SE,4.102.9,Germany,7.15,Music
3,TikTok,33,2023-11-30,5,Awesome app! Best entertainment content.,98,iPhone 12,7.52.0,Germany,4.98,Entertainment
4,Audible,40,2023-04-03,5,"Great app, but it's a bit pricey.",74,iPhone 13,5.260.15,Australia,0.0,Books
5,Spotify,44,2023-05-01,1,"Good, but has connection issues sometimes.",47,iPhone SE,4.50.18,Australia,14.31,Music
6,Headspace,28,2024-05-04,3,Could be better. Some sessions don't work.,26,iPhone 13,7.191.0,India,7.45,Health
7,WhatsApp,30,2024-09-14,1,Terrible experience. The app doesn't work properly.,10,iPhone 14,4.279.13,Australia,9.78,Social
8,Clash of Clans,44,2022-12-07,1,Not worth the download. Keeps crashing.,20,iPhone 13,2.232.7,Australia,12.83,Games
9,TikTok,34,2024-02-11,1,Terrible! Hard to navigate and slow.,7,iPhone 11,2.102.4,Australia,0.0,Entertainment
10,Zoom,55,2023-02-25,1,Worst experience. Constantly crashes during meetings.,5,iPhone SE,1.294.20,US,0.0,Business
11,Instagram,45,2023-10-12,5,Amazing app! Helps me stay connected with friends and family.,87,iPhone 14,10.73.8,UK,9.97,Social
12,Clash of Clans,56,2024-07-12,4,"Great game, but too many in-game purchases.",59,iPhone X,4.243.4,US,0.0,Games
13,Instagram,33,2023-04-30,1,Terrible experience. The app doesn't work properly.,17,iPhone SE,4.47.15,France,0.0,Social
14,Clash of Clans,27,2022-10-28,3,"Fun, but it gets repetitive after a while.",57,iPhone 12,9.137.9,Mexico,8.41,Games
15,Zoom,47,2024-10-03,1,Worst experience. Constantly crashes during meetings.,11,iPhone X,3.253.3,Australia,10.75,Business
16,Candy Crush Saga,39,2022-10-16,5,Super fun and addictive! Can't stop playing.,80,iPhone 13,9.87.11,France,10.6,Games
17,Zoom,42,2023-10-22,3,Keeps disconnecting during calls.,15,iPhone 14,1.151.8,India,0.0,Business
18,Clash of Clans,40,2023-09-16,4,"Great game, but too many in-game purchases.",73,iPhone 11,1.293.2,France,16.44,Games
19,Instagram,55,2022-12-09,5,Amazing app! Helps me stay connected with friends and family.,88,iPhone 11,10.293.5,India,9.01,Social
20,Zoom,22,2024-06-14,4,"Good app, but has minor bugs.",73,iPhone SE,7.203.9,Canada,9.99,Business
21,Duolingo,51,2024-03-12,2,Not engaging enough. Needs more updates.,28,iPhone 12,6.19.20,Germany,0.0,Education
22,Spotify,33,2024-06-24,5,Love the app! Best place for music.,71,iPhone 12,1.177.5,Canada,0.0,Music
23,Headspace,41,2023-12-18,1,Not helpful at all. Content is repetitive.,17,iPhone X,3.239.5,UK,8.6,Health
24,Clash of Clans,49,2024-02-25,1,Not worth the download. Keeps crashing.,9,iPhone X,2.114.15,Australia,0.0,Games
25,Headspace,47,2023-04-15,3,"Decent, but lacks variety in sessions.",60,iPhone 12,6.91.15,France,11.25,Health
26,Instagram,57,2023-07-15,5,Amazing app! Helps me stay connected with friends and family.,96,iPhone 11,9.5.16,India,0.0,Social
27,WhatsApp,37,2023-07-29,5,Amazing app! Helps me stay connected with friends and family.,82,iPhone 13,5.285.14,Canada,6.21,Social
28,Candy Crush Saga,47,2022-11-09,3,"Fun, but it gets repetitive after a while.",38,iPhone 11,7.256.16,Australia,13.77,Games
29,Headspace,58,2022-10-20,1,"Decent, but lacks variety in sessions.",31,iPhone X,5.46.14,India,0.0,Health
30,Clash of Clans,34,2024-03-26,2,Not worth the download. Keeps crashing.,9,iPhone 14,9.183.8,US,0.0,Games
31,TikTok,53,2024-06-29,4,"Good app, but the ads are annoying.",57,iPhone 12,4.112.7,India,0.0,Entertainment
32,Instagram,29,2024-01-12,5,"Great app, but sometimes it lags.",51,iPhone 14,7.175.4,Australia,6.11,Social
33,Spotify,19,2022-12-08,2,"The app is okay, but it crashes often.",16,iPhone 11,6.143.15,Germany,0.0,Music
34,Duolingo,23,2022-11-20,3,"Useful, but some content is outdated.",59,iPhone 11,6.152.6,US,0.0,Education
35,Instagram,33,2024-01-21,5,Amazing app! Helps me stay connected with friends and family.,81,iPhone 13,5.182.8,US,0.0,Social
36,Clash of Clans,54,2022-12-25,3,"Great game, but too many in-game purchases.",53,iPhone SE,10.108.19,Australia,0.0,Games
37,Clash of Clans,51,2023-06-30,3,"Fun, but it gets repetitive after a while.",37,iPhone SE,5.57.9,France,0.0,Games
38,Duolingo,49,2023-02-22,3,Not engaging enough. Needs more updates.,28,iPhone 13,3.299.19,Canada,0.0,Education
39,Instagram,33,2024-04-01,5,Amazing app! Helps me stay connected with friends and family.,87,iPhone 14,4.84.16,US,0.0,Social
40,Spotify,58,2022-10-09,4,"Great music collection, but needs offline mode.",76,iPhone 12,2.191.14,Canada,0.0,Music
41,Audible,60,2023-06-25,2,"It's okay, but some audiobooks won't play.",25,iPhone 14,5.5.20,Canada,0.0,Books
42,Headspace,31,2024-03-01,1,Could be better. Some sessions don't work.,21,iPhone X,5.63.13,India,10.06,Health
43,Duolingo,33,2022-11-02,3,Not engaging enough. Needs more updates.,39,iPhone 14,7.280.14,Australia,0.0,Education
44,Duolingo,30,2023-04-27,4,"Good educational app, but can be improved.",60,iPhone 12,2.45.16,Canada,5.5,Education
